#name_event	cut	inclin	wav	flam_ratio
ACC1	NOT	0	70	2399.44494351
ACC1	NOT	0	250	54.0844909353
ACC1	NOT	0	350	32.3244398158
ACC1	NOT	0	450	23.7371492536
ACC1	NOT	0	850	13.4108725324
ACC1	NOT	0	1300	10.439495121
ACC1	NOT	60	70	1594.01421744
ACC1	NOT	60	250	57.7056803794
ACC1	NOT	60	350	34.2368391341
ACC1	NOT	60	450	24.66955399
ACC1	NOT	60	850	13.2723752888
ACC1	NOT	60	1300	10.4757089539
ACC1	NOT	90	70	3462.35002529
ACC1	NOT	90	250	64.5177434258
ACC1	NOT	90	350	37.2743755611
ACC1	NOT	90	450	26.4199546503
ACC1	NOT	90	850	13.956193706
ACC1	NOT	90	1300	11.3999412722
ACC1	POST	0	70	2383.85077416
ACC1	POST	0	250	46.7734442458
ACC1	POST	0	350	27.3322218857
ACC1	POST	0	450	20.1630782014
ACC1	POST	0	850	12.4846911251
ACC1	POST	0	1300	10.3561535614
ACC1	POST	60	70	1582.39035074
ACC1	POST	60	250	49.5942641324
ACC1	POST	60	350	28.6269519511
ACC1	POST	60	450	20.656586615
ACC1	POST	60	850	12.1846242706
ACC1	POST	60	1300	10.3819921545
ACC1	POST	90	70	3440.31235634
ACC1	POST	90	250	55.0710806363
ACC1	POST	90	350	30.8624226734
ACC1	POST	90	450	21.8892701961
ACC1	POST	90	850	12.7721453422
ACC1	POST	90	1300	11.4951574104
ACC2	NOT	0	70	1067.10632514
ACC2	NOT	0	250	46.8865164155
ACC2	NOT	0	350	28.7188853983
ACC2	NOT	0	450	20.9783168192
ACC2	NOT	0	850	11.1780871236
ACC2	NOT	0	1300	8.67395831908
ACC2	NOT	60	70	578.511045715
ACC2	NOT	60	250	48.6146669372
ACC2	NOT	60	350	29.8647822305
ACC2	NOT	60	450	21.6209946492
ACC2	NOT	60	850	11.3162860224
ACC2	NOT	60	1300	8.68877907672
ACC2	NOT	90	70	948.20933734
ACC2	NOT	90	250	53.3289887738
ACC2	NOT	90	350	31.8971912076
ACC2	NOT	90	450	22.7222113932
ACC2	NOT	90	850	11.7976100891
ACC2	NOT	90	1300	9.27302618
ACC2	POST	0	70	1049.08094117
ACC2	POST	0	250	39.0459060298
ACC2	POST	0	350	23.7640334566
ACC2	POST	0	450	17.6712125484
ACC2	POST	0	850	10.4120554723
ACC2	POST	0	1300	8.58726425845
ACC2	POST	60	70	571.527997935
ACC2	POST	60	250	40.232356491
ACC2	POST	60	350	24.3842778632
ACC2	POST	60	450	17.928846305
ACC2	POST	60	850	10.4360712884
ACC2	POST	60	1300	8.58308285311
ACC2	POST	90	70	935.55164356
ACC2	POST	90	250	43.7329438064
ACC2	POST	90	350	25.7327154601
ACC2	POST	90	450	18.6072622778
ACC2	POST	90	850	10.8480010233
ACC2	POST	90	1300	9.30597461447
