#name_event	cut	inclin	wav	flam_ratio
ACC1	NOT	0	70	773.497930294
ACC1	NOT	0	250	12.0617597234
ACC1	NOT	0	350	8.1325792725
ACC1	NOT	0	450	6.69624236702
ACC1	NOT	0	850	5.38183020528
ACC1	NOT	0	1300	5.30458209827
ACC1	NOT	60	70	684.560115485
ACC1	NOT	60	250	11.8707517656
ACC1	NOT	60	350	7.87415845997
ACC1	NOT	60	450	6.38396304861
ACC1	NOT	60	850	4.92806611202
ACC1	NOT	60	1300	4.9139015673
ACC1	NOT	90	70	905.135843692
ACC1	NOT	90	250	11.760338052
ACC1	NOT	90	350	7.71183627999
ACC1	NOT	90	450	6.20715668085
ACC1	NOT	90	850	4.71312702713
ACC1	NOT	90	1300	4.7588245945
ACC1	POST	0	70	2011.28907363
ACC1	POST	0	250	35.4388771075
ACC1	POST	0	350	20.4746162886
ACC1	POST	0	450	15.3048747589
ACC1	POST	0	850	10.3723690607
ACC1	POST	0	1300	9.12730523843
ACC1	POST	60	70	1354.44177962
ACC1	POST	60	250	36.7978831758
ACC1	POST	60	350	20.8515897932
ACC1	POST	60	450	15.2333667427
ACC1	POST	60	850	9.86150867948
ACC1	POST	60	1300	8.92405113058
ACC1	POST	90	70	3137.1485159
ACC1	POST	90	250	39.6716508767
ACC1	POST	90	350	21.7722294847
ACC1	POST	90	450	15.6431705228
ACC1	POST	90	850	10.009535247
ACC1	POST	90	1300	9.50950962578
ACC2	NOT	0	70	655.829648076
ACC2	NOT	0	250	13.28325903
ACC2	NOT	0	350	8.79514522151
ACC2	NOT	0	450	7.08607090288
ACC2	NOT	0	850	5.17783317925
ACC2	NOT	0	1300	4.93815513472
ACC2	NOT	60	70	453.226006394
ACC2	NOT	60	250	13.1361131307
ACC2	NOT	60	350	8.52106096725
ACC2	NOT	60	450	6.78297264733
ACC2	NOT	60	850	4.87353210937
ACC2	NOT	60	1300	4.59849489282
ACC2	NOT	90	70	657.127454133
ACC2	NOT	90	250	13.032402523
ACC2	NOT	90	350	8.32892747299
ACC2	NOT	90	450	6.57184654961
ACC2	NOT	90	850	4.66654512997
ACC2	NOT	90	1300	4.40827227285
ACC2	POST	0	70	1005.94281151
ACC2	POST	0	250	32.3338662095
ACC2	POST	0	350	19.3317415723
ACC2	POST	0	450	14.4836220982
ACC2	POST	0	850	9.06835110282
ACC2	POST	0	1300	7.68309513796
ACC2	POST	60	70	551.72880415
ACC2	POST	60	250	33.1134644289
ACC2	POST	60	350	19.5614712925
ACC2	POST	60	450	14.4695383196
ACC2	POST	60	850	8.98722218952
ACC2	POST	60	1300	7.64567862742
ACC2	POST	90	70	913.129042707
ACC2	POST	90	250	35.2123073118
ACC2	POST	90	350	20.1883073202
ACC2	POST	90	450	14.702735186
ACC2	POST	90	850	9.16313628196
ACC2	POST	90	1300	8.1538766683
