#snapshot	cut	isrf	inclin	wav	flam
0901	NOT	N	0	70	2.84317867959e-10
0901	NOT	N	0	250	8.52919140868e-10
0901	NOT	N	0	350	4.36539786952e-10
0901	NOT	N	0	450	2.38944135655e-10
0901	NOT	N	0	850	3.31531922627e-11
0901	NOT	N	0	1300	5.85400454345e-12
0901	NOT	N	60	70	4.71660580883e-10
0901	NOT	N	60	250	7.68602922035e-10
0901	NOT	N	60	350	3.87210168177e-10
0901	NOT	N	60	450	2.11875800492e-10
0901	NOT	N	60	850	2.91501956334e-11
0901	NOT	N	60	1300	5.00526614384e-12
0901	NOT	N	90	70	1.99952176779e-10
0901	NOT	N	90	250	6.5853263213e-10
0901	NOT	N	90	350	3.36915567427e-10
0901	NOT	N	90	450	1.85721108141e-10
0901	NOT	N	90	850	2.50922551961e-11
0901	NOT	N	90	1300	4.05276462789e-12
0901	NOT	Y	0	70	8.86213037783e-10
0901	NOT	Y	0	250	3.956213222e-09
0901	NOT	Y	0	350	1.79466620067e-09
0901	NOT	Y	0	450	8.74287245608e-10
0901	NOT	Y	0	850	8.45983512485e-11
0901	NOT	Y	0	1300	1.17492522839e-11
0901	NOT	Y	60	70	1.10338500545e-09
0901	NOT	Y	60	250	3.8693062578e-09
0901	NOT	Y	60	350	1.74426542773e-09
0901	NOT	Y	60	450	8.46754622461e-10
0901	NOT	Y	60	850	8.0553713965e-11
0901	NOT	Y	60	1300	1.08943028787e-11
0901	NOT	Y	90	70	7.67618476255e-10
0901	NOT	Y	90	250	3.74536950536e-09
0901	NOT	Y	90	350	1.68960323399e-09
0901	NOT	Y	90	450	8.18838995201e-10
0901	NOT	Y	90	850	7.63510132339e-11
0901	NOT	Y	90	1300	9.92046639138e-12
0901	POST	N	0	70	2.86723362935e-10
0901	POST	N	0	250	8.51880387256e-10
0901	POST	N	0	350	4.31499102426e-10
0901	POST	N	0	450	2.31921621976e-10
0901	POST	N	0	850	2.97978726601e-11
0901	POST	N	0	1300	5.09032658783e-12
0901	POST	N	60	70	4.77781611547e-10
0901	POST	N	60	250	7.67790102858e-10
0901	POST	N	60	350	3.82220676777e-10
0901	POST	N	60	450	2.0487291611e-10
0901	POST	N	60	850	2.57976235803e-11
0901	POST	N	60	1300	4.24207165857e-12
0901	POST	N	90	70	2.01782273452e-10
0901	POST	N	90	250	6.57363572951e-10
0901	POST	N	90	350	3.31831504315e-10
0901	POST	N	90	450	1.78679558591e-10
0901	POST	N	90	850	2.1735360081e-11
0901	POST	N	90	1300	3.28890290446e-12
0901	POST	Y	0	70	3.38295069667e-10
0901	POST	Y	0	250	1.1256441474e-09
0901	POST	Y	0	350	5.74818058599e-10
0901	POST	Y	0	450	3.04923795122e-10
0901	POST	Y	0	850	3.62154021016e-11
0901	POST	Y	0	1300	5.83399435254e-12
0901	POST	Y	60	70	5.53864838672e-10
0901	POST	Y	60	250	1.03547385845e-09
0901	POST	Y	60	350	5.23340009393e-10
0901	POST	Y	60	450	2.76970435756e-10
0901	POST	Y	60	850	3.21467854947e-11
0901	POST	Y	60	1300	4.97669627353e-12
0901	POST	Y	90	70	2.19845894319e-10
0901	POST	Y	90	250	9.12842306205e-10
0901	POST	Y	90	350	4.68937088126e-10
0901	POST	Y	90	450	2.49108089222e-10
0901	POST	Y	90	850	2.79408206438e-11
0901	POST	Y	90	1300	4.00217721379e-12
0951	NOT	N	0	70	6.82205070623e-07
0951	NOT	N	0	250	4.61296975429e-08
0951	NOT	N	0	350	1.41109040705e-08
0951	NOT	N	0	450	5.67185261132e-09
0951	NOT	N	0	850	4.44613235476e-10
0951	NOT	N	0	1300	6.11128518699e-11
0951	NOT	N	60	70	7.51833671732e-07
0951	NOT	N	60	250	4.43527545577e-08
0951	NOT	N	60	350	1.3256852239e-08
0951	NOT	N	60	450	5.2268814994e-09
0951	NOT	N	60	850	3.86892336188e-10
0951	NOT	N	60	1300	5.24337113597e-11
0951	NOT	N	90	70	6.9230442433e-07
0951	NOT	N	90	250	4.24870393972e-08
0951	NOT	N	90	350	1.25583173927e-08
0951	NOT	N	90	450	4.90674325469e-09
0951	NOT	N	90	850	3.50192374036e-10
0951	NOT	N	90	1300	4.6201278748e-11
0951	NOT	Y	0	70	6.85483950525e-07
0951	NOT	Y	0	250	4.77188932983e-08
0951	NOT	Y	0	350	1.45952651446e-08
0951	NOT	Y	0	450	5.85443929498e-09
0951	NOT	Y	0	850	4.55293962066e-10
0951	NOT	Y	0	1300	6.23248733333e-11
0951	NOT	Y	60	70	7.55333366757e-07
0951	NOT	Y	60	250	4.59315740916e-08
0951	NOT	Y	60	350	1.37346223742e-08
0951	NOT	Y	60	450	5.40565022103e-09
0951	NOT	Y	60	850	3.96974027989e-10
0951	NOT	Y	60	1300	5.35335319904e-11
0951	NOT	Y	90	70	6.94798997139e-07
0951	NOT	Y	90	250	4.40468115127e-08
0951	NOT	Y	90	350	1.30299435186e-08
0951	NOT	Y	90	450	5.0826619396e-09
0951	NOT	Y	90	850	3.59852024021e-10
0951	NOT	Y	90	1300	4.72097594522e-11
0951	POST	N	0	70	6.83505710702e-07
0951	POST	N	0	250	3.98453797974e-08
0951	POST	N	0	350	1.1793829211e-08
0951	POST	N	0	450	4.67625380051e-09
0951	POST	N	0	850	3.72017236345e-10
0951	POST	N	0	1300	5.27162038215e-11
0951	POST	N	60	70	7.56037011874e-07
0951	POST	N	60	250	3.80779851594e-08
0951	POST	N	60	350	1.09418129488e-08
0951	POST	N	60	450	4.23197513671e-09
0951	POST	N	60	850	3.143343504e-10
0951	POST	N	60	1300	4.4041154678e-11
0951	POST	N	90	70	6.94194048647e-07
0951	POST	N	90	250	3.62017223334e-08
0951	POST	N	90	350	1.02411241425e-08
0951	POST	N	90	450	3.9111651365e-09
0951	POST	N	90	850	2.7760717802e-10
0951	POST	N	90	1300	3.78064565943e-11
0951	POST	Y	0	70	6.80409177286e-07
0951	POST	Y	0	250	3.98915646065e-08
0951	POST	Y	0	350	1.17691791855e-08
0951	POST	Y	0	450	4.66682049535e-09
0951	POST	Y	0	850	3.75639516281e-10
0951	POST	Y	0	1300	5.32486472149e-11
0951	POST	Y	60	70	7.50177677759e-07
0951	POST	Y	60	250	3.8103246075e-08
0951	POST	Y	60	350	1.09124711983e-08
0951	POST	Y	60	450	4.21919222475e-09
0951	POST	Y	60	850	3.17015804173e-10
0951	POST	Y	60	1300	4.44122920064e-11
0951	POST	Y	90	70	6.8968922109e-07
0951	POST	Y	90	250	3.62139612773e-08
0951	POST	Y	90	350	1.02098058966e-08
0951	POST	Y	90	450	3.89684031832e-09
0951	POST	Y	90	850	2.79674629063e-10
0951	POST	Y	90	1300	3.80587427386e-11
1611	NOT	N	0	70	9.43395692346e-10
1611	NOT	N	0	250	1.1820087179e-09
1611	NOT	N	0	350	5.71772522806e-10
1611	NOT	N	0	450	3.05588969759e-10
1611	NOT	N	0	850	4.0737153044e-11
1611	NOT	N	0	1300	7.19939161383e-12
1611	NOT	N	60	70	2.27854015497e-09
1611	NOT	N	60	250	1.10420179046e-09
1611	NOT	N	60	350	5.15067868646e-10
1611	NOT	N	60	450	2.72516192841e-10
1611	NOT	N	60	850	3.53207456588e-11
1611	NOT	N	60	1300	5.97500571958e-12
1611	NOT	N	90	70	1.31305358905e-09
1611	NOT	N	90	250	9.62234297078e-10
1611	NOT	N	90	350	4.54678414698e-10
1611	NOT	N	90	450	2.41788229315e-10
1611	NOT	N	90	850	3.03427199842e-11
1611	NOT	N	90	1300	4.73026847287e-12
1611	NOT	Y	0	70	1.54034376652e-09
1611	NOT	Y	0	250	4.26093953568e-09
1611	NOT	Y	0	350	1.9053439503e-09
1611	NOT	Y	0	450	9.21983284485e-10
1611	NOT	Y	0	850	8.92143085004e-11
1611	NOT	Y	0	1300	1.27919151665e-11
1611	NOT	Y	60	70	2.91608015848e-09
1611	NOT	Y	60	250	4.17555312188e-09
1611	NOT	Y	60	350	1.84447119049e-09
1611	NOT	Y	60	450	8.86567329305e-10
1611	NOT	Y	60	850	8.3344589805e-11
1611	NOT	Y	60	1300	1.14385641857e-11
1611	NOT	Y	90	70	1.89944910308e-09
1611	NOT	Y	90	250	4.02689472364e-09
1611	NOT	Y	90	350	1.78116624485e-09
1611	NOT	Y	90	450	8.54304064565e-10
1611	NOT	Y	90	850	7.80750853188e-11
1611	NOT	Y	90	1300	1.00999801483e-11
1611	POST	N	0	70	9.52089382696e-10
1611	POST	N	0	250	1.17521730573e-09
1611	POST	N	0	350	5.56562979816e-10
